Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
ioo(8) 83 | 18 | holy | [16, 15, 28, 24] | [1, 13, 4] | [ad, dad] | TSEAA | YL?EA?S 
ioo(9) 35 | 31 | holy | [5, 0, 4, 26] | [5, 4, 22] | [ad, dad] | CFRY | THN?R??Y? 
Results for mobius20.txt
ioo(0) 74 | 20 | holy | [22, 23, 11, 18] | [1, 12, 7] | [ad, dad] | OEDJE | EAHRX 
ioo(1) 48 | 33 | holy | [22, 2, 13, 11] | [20, 11, 2] | [ad, diffs_decremental, dad] | OETHPJ | EA(FID)(CM)R 
ioo(2) 64 | 36 | holy | [3, 27, 19, 15] | [24, 8, 4] | [is_odd, ad, diffs_decremental, diffs_is_even, dad] | OIOMS | (UB)?IO?WL 
ioo(3) 74 | 30 | holy | [13, 24, 14, 23] | [11, 10, 9] | [ad, diffs_decremental, dad] | PAXD | (CM)S(PAE)H 
ioo(4) 85 | 25 | holy | [4, 26, 28, 27] | [22, 2, 1] | [ad, diffs_decremental, dad] | RYEAIO | ?R??Y??EA??IO? 
ioo(5) 88 | 27 | holy | [27, 17, 26, 18] | [10, 9, 8] | [ad, diffs_decremental, dad] | IOBYE | ?IO?G?Y?X 
ioo(6) 71 | 34 | holy | [28, 13, 8, 22] | [15, 5, 14] | [ad, dad] | EAPHOE | ?EA?(CM)JEA 
ioo(7) 63 | 38 | holy | [26, 11, 20, 6] | [15, 9, 14] | [ad, dad] | YJLG | ?Y?RIO?G? 
ioo(8) 69 | 31 | holy | [2, 23, 19, 25] | [21, 4, 6] | [ad, dad] | THDMAE | (FID)HWOE 
ioo(9) 29 | 23 | holy | [8, 3, 13, 5] | [5, 10, 8] | [ad, dad] | HOPC | J(UB)(CM)TH 
ioo(10) 65 | 31 | holy | [19, 14, 24, 8] | [5, 10, 16] | [ad, diffs_incremental, dad] | MXAH | W(PAE)SJ 
ioo(11) 76 | 12 | holy | [19, 19, 15, 23] | [0, 4, 8] | [is_odd, hr, diffs_incremental, diffs_is_even, dad] | MMSD | WWLH 
Results for mobius21.txt
ioo(0) 68 | 31 | holy | [5, 21, 26, 16] | [16, 5, 10] | [ad, dad] | CINGYT | THING?Y?Y 
ioo(1) 79 | 28 | holy | [19, 23, 28, 9] | [4, 5, 19] | [ad, diffs_incremental, dad] | MDEAN | WH?EA?E 
ioo(2) 59 | 20 | holy | [5, 5, 24, 25] | [0, 19, 1] | [incremental, hr, dad] | CCAAE | THTHSOE 
ioo(3) 71 | 21 | holy | [25, 23, 19, 4] | [2, 4, 15] | [decremental, ad, diffs_incremental, dad] | AEDMR | OEHW?R? 
ioo(4) 41 | 39 | holy | [6, 4, 24, 7] | [2, 20, 17] | [ad, dad] | GRAW | ?G??R?SO 
ioo(5) 65 | 44 | holy | [24, 11, 24, 6] | [13, 13, 18] | [hr, diffs_incremental, dhr] | AJAG | SRS?G? 
ioo(6) 63 | 40 | holy | [3, 26, 25, 9] | [23, 1, 16] | [ad, dad] | OYAEN | (UB)?Y?OEE 
Results for mobius22.txt
ioo(0) 44 | 37 | holy | [16, 5, 18, 5] | [11, 13, 13] | [hr, diffs_incremental, diffs_is_odd, dhr, diffs_all_prime] | TCEC | YTHXTH 
ioo(1) 57 | 39 | holy | [10, 12, 28, 7] | [2, 16, 21] | [ad, diffs_incremental, dad] | IEOEAW | AEO?EA?O 
ioo(2) 43 | 26 | holy | [22, 8, 11, 2] | [14, 3, 9] | [ad, dad] | OEHJTH | EAJR(FID) 
ioo(3) 74 | 47 | holy | [14, 25, 8, 27] | [11, 17, 19] | [ad, diffs_incremental, diffs_is_odd, dad, diffs_all_prime] | XAEHIO | (PAE)OEJ?IO? 
ioo(4) 48 | 33 | holy | [4, 11, 6, 27] | [7, 5, 21] | [ad, diffs_is_odd, dad] | RJGIO | ?R?R?G??IO? 
Results for mayfly23.txt
ioo(0) 73 | 25 | holy | [16, 8, 24, 25] | [8, 16, 1] | [ad, dad] | THAAE | YJSOE 
ioo(1) 58 | 33 | holy | [22, 4, 13, 19] | [18, 9, 6] | [ad, diffs_decremental, dad] | OERPM | EA?R?(CM)W 
ioo(2) 65 | 22 | holy | [7, 15, 24, 19] | [8, 9, 5] | [ad, dad] | WSAM | OLSW 
ioo(3) 36 | 26 | holy | [12, 4, 2, 18] | [8, 2, 16] | [is_even, ad, diffs_is_even, dad] | EORTHE | EO?R?(FID)X 
ioo(4) 58 | 32 | holy | [12, 13, 5, 28] | [1, 8, 23] | [ad, diffs_incremental, dad] | EOPCEA | EO(CM)TH?EA? 
ioo(5) 65 | 23 | holy | [1, 17, 23, 24] | [16, 6, 1] | [incremental, ad, diffs_decremental, dad] | UBDA | TGHS 
ioo(6) 53 | 58 | holy | [2, 24, 5, 22] | [22, 19, 17] | [ad, diffs_decremental, dad] | THACOE | (FID)STHEA 
ioo(7) 53 | 22 | holy | [0, 15, 16, 22] | [15, 1, 6] | [incremental, ad, dad] | FSTOE | NLYEA 
ioo(8) 34 | 17 | holy | [16, 5, 8, 5] | [11, 3, 3] | [hr, diffs_decremental, diffs_is_odd, dhr, diffs_all_prime] | TCHC | YTHJTH 
Results for mayfly24.txt
ioo(0) 30 | 23 | holy | [1, 2, 17, 10] | [1, 15, 7] | [ad, diffs_is_odd, dad] | UTHBI | T(FID)GA 
ioo(1) 65 | 26 | holy | [28, 19, 16, 2] | [9, 3, 14] | [decremental, ad, dad] | EAMTTH | ?EA?WY(FID) 
ioo(2) 35 | 41 | holy | [1, 11, 1, 22] | [10, 10, 21] | [hr, diffs_incremental, dhr] | UJUOE | TRTEA 
ioo(3) 85 | 10 | holy | [28, 20, 19, 18] | [8, 1, 1] | [decremental, ad, diffs_decremental, dhr] | EALME | ?EA?IOWX 
ioo(4) 78 | 32 | holy | [24, 22, 28, 4] | [2, 6, 24] | [is_even, ad, diffs_incremental, diffs_is_even, dad] | AOEEAR | SEA?EA??R? 
ioo(5) 51 | 39 | holy | [11, 0, 12, 28] | [11, 12, 16] | [ad, diffs_incremental, dad] | JFEOEA | RNEO?EA? 
ioo(6) 33 | 32 | holy | [7, 1, 0, 25] | [6, 1, 25] | [ad, dad] | WUFAE | OTNOE 
ioo(7) 43 | 36 | holy | [14, 25, 4, 0] | [11, 21, 4] | [ad, dad] | XAERF | (PAE)OE?R?N 
ioo(8) 49 | 12 | holy | [10, 10, 9, 20] | [0, 1, 11] | [hr, diffs_incremental, dad] | IINL | AAEIO 
ioo(9) 82 | 18 | holy | [25, 28, 14, 15] | [3, 14, 1] | [ad, dad] | AEEAXS | OE?EA?(PAE)L 
ioo(10) 70 | 14 | holy | [20, 13, 19, 18] | [7, 6, 1] | [ad, diffs_decremental, dad] | LPME | IO(CM)WX 
ioo(11) 54 | 29 | holy | [8, 22, 17, 7] | [14, 5, 10] | [ad, dad] | HOEBW | JEAGO 
ioo(12) 57 | 25 | holy | [25, 18, 14, 0] | [7, 4, 14] | [decremental, ad, dad] | AEEXF | OEX(PAE)N 
Results for mayfly25.txt
ioo(0) 52 | 32 | holy | [12, 18, 22, 0] | [6, 4, 22] | [is_even, ad, diffs_is_even, dad] | EOEOEF | EOXEAN 
ioo(1) 30 | 13 | holy | [10, 13, 4, 3] | [3, 9, 1] | [ad, diffs_is_odd, dad] | IPRO | A(CM)?R?(UB) 
ioo(2) 76 | 18 | holy | [7, 21, 23, 25] | [14, 2, 2] | [incremental, is_odd, ad, diffs_decremental, diffs_is_even, dhr] | WINGDAE | OINGHOE 
ioo(3) 55 | 22 | holy | [1, 17, 16, 21] | [16, 1, 5] | [ad, dad] | UBTING | TGYING 
ioo(4) 61 | 25 | holy | [27, 17, 15, 2] | [10, 2, 13] | [decremental, ad, dad] | IOBSTH | ?IO?GL(FID) 
ioo(5) 70 | 32 | holy | [20, 20, 6, 24] | [0, 14, 18] | [is_even, hr, diffs_incremental, diffs_is_even, dad] | LLGA | IOIO?G?S 
ioo(6) 65 | 41 | holy | [2, 25, 15, 23] | [23, 10, 8] | [ad, diffs_decremental, dad] | THAESD | (FID)OELH 
ioo(7) 21 | 10 | holy | [11, 5, 2, 3] | [6, 3, 1] | [ad, all_primes, diffs_decremental, dad] | JCTHO | RTH(FID)(UB) 
ioo(8) 56 | 24 | holy | [25, 12, 14, 5] | [13, 2, 9] | [ad, dad] | AEEOXC | OEEO(PAE)TH 
ioo(9) 9 | 4 | holy | [4, 3, 2, 0] | [1, 1, 2] | [decremental, ad, diffs_incremental, dhr] | ROTHF | ?R?(UB)(FID)N 
ioo(10) 37 | 8 | holy | [9, 6, 11, 11] | [3, 5, 0] | [hr, dad, diffs_all_prime] | NGJJ | E?G?RR 
ioo(11) 78 | 43 | holy | [27, 5, 24, 22] | [22, 19, 2] | [ad, diffs_decremental, dad] | IOCAOE | ?IO?THSEA 
Results for mayfly26.txt
ioo(0) 44 | 22 | holy | [24, 6, 8, 6] | [18, 2, 2] | [is_even, hr, diffs_decremental, diffs_is_even, dhr] | AGHG | S?G?J?G? 
ioo(1) 33 | 48 | holy | [1, 20, 1, 11] | [19, 19, 10] | [hr, diffs_decremental, dhr] | ULUJ | TIOTR 
ioo(2) 45 | 19 | holy | [13, 5, 11, 16] | [8, 6, 5] | [ad, diffs_decremental, dad] | PCJT | (CM)THRY 
ioo(3) 85 | 23 | holy | [23, 26, 14, 22] | [3, 12, 8] | [ad, dad] | DYXOE | H?Y?(PAE)EA 
ioo(4) 45 | 17 | holy | [5, 5, 13, 22] | [0, 8, 9] | [incremental, hr, diffs_incremental, dad] | CCPOE | THTH(CM)EA 
ioo(5) 83 | 9 | holy | [25, 18, 20, 20] | [7, 2, 0] | [hr, diffs_decremental, dad, diffs_all_prime] | AEELL | OEXIOIO 
ioo(6) 72 | 28 | holy | [22, 25, 25, 0] | [3, 0, 25] | [hr, dad] | OEAEAEF | EAOEOEN 
ioo(7) 51 | 31 | holy | [10, 12, 4, 25] | [2, 8, 21] | [ad, diffs_incremental, dad] | IEORAE | AEO?R?OE 
ioo(8) 59 | 32 | holy | [8, 26, 13, 12] | [18, 13, 1] | [ad, diffs_decremental, dad] | HYPEO | J?Y?(CM)EO 
Results for wingtree27.txt
ioo(0) 54 | 4 | holy | [12, 12, 14, 16] | [0, 2, 2] | [incremental, is_even, hr, diffs_incremental, diffs_is_even, dhr, diffs_all_prime] | EOEOXT | EOEO(PAE)Y 
ioo(1) 49 | 33 | holy | [25, 16, 0, 8] | [9, 16, 8] | [ad, dad] | AETFH | OEYNJ 
ioo(2) 37 | 14 | holy | [10, 8, 13, 6] | [2, 5, 7] | [ad, diffs_incremental, dad, diffs_all_prime] | IHPG | AJ(CM)?G? 
ioo(3) 20 | 11 | holy | [4, 1, 8, 7] | [3, 7, 1] | [ad, diffs_is_odd, dad] | RUHW | ?R?TJO 
ioo(4) 73 | 45 | holy | [20, 3, 27, 23] | [17, 24, 4] | [ad, dad] | LOIOD | IO(UB)?IO?H 
ioo(5) 44 | 28 | holy | [18, 13, 1, 12] | [5, 12, 11] | [ad, dad] | EPUEO | X(CM)TEO 
ioo(6) 66 | 31 | holy | [21, 17, 24, 4] | [4, 7, 20] | [ad, diffs_incremental, dad] | INGBAR | INGGS?R? 
ioo(7) 49 | 45 | holy | [25, 1, 1, 22] | [24, 0, 21] | [hr, dad] | AEUUOE | OETTEA 
ioo(8) 77 | 26 | holy | [22, 19, 26, 10] | [3, 7, 16] | [ad, diffs_incremental, dad] | OEMYI | EAW?Y?A 
ioo(9) 65 | 20 | holy | [18, 18, 9, 20] | [0, 9, 11] | [hr, diffs_incremental, dad] | EENL | XXEIO 
ioo(10) 64 | 44 | holy | [15, 19, 3, 27] | [4, 16, 24] | [is_odd, ad, diffs_incremental, diffs_is_even, dad] | SMOIO | LW(UB)?IO? 
ioo(11) 60 | 29 | holy | [15, 10, 23, 12] | [5, 13, 11] | [ad, diffs_is_odd, dad, diffs_all_prime] | SIDEO | LAHEO 
Results for wingtree28.txt
ioo(0) 66 | 47 | holy | [14, 27, 6, 19] | [13, 21, 13] | [ad, diffs_is_odd, dhr] | XIOGM | (PAE)?IO??G?W 
ioo(1) 76 | 28 | holy | [24, 16, 24, 12] | [8, 8, 12] | [is_even, hr, diffs_incremental, diffs_is_even, dhr] | ATAEO | SYSEO 
ioo(2) 24 | 16 | holy | [3, 11, 7, 3] | [8, 4, 4] | [is_odd, hr, all_primes, diffs_decremental, diffs_is_even, dhr] | OJWO | (UB)RO(UB) 
ioo(3) 52 | 17 | holy | [21, 9, 12, 10] | [12, 3, 2] | [ad, diffs_decremental, dad] | INGNEOI | INGEEOA 
ioo(4) 73 | 41 | holy | [24, 18, 28, 3] | [6, 10, 25] | [ad, diffs_incremental, dad] | AEEAO | SX?EA?(UB) 
ioo(5) 72 | 29 | holy | [26, 17, 22, 7] | [9, 5, 15] | [ad, diffs_is_odd, dad] | YBOEW | ?Y?GEAO 
ioo(6) 46 | 27 | holy | [13, 10, 3, 20] | [3, 7, 17] | [ad, diffs_incremental, diffs_is_odd, dad, diffs_all_prime] | PIOL | (CM)A(UB)IO 
Results for wingtree29.txt
ioo(0) 69 | 38 | holy | [27, 19, 4, 19] | [8, 15, 15] | [hr, diffs_incremental, dhr] | IOMRM | ?IO?W?R?W 
ioo(1) 61 | 66 | holy | [28, 7, 26, 0] | [21, 19, 26] | [ad, dad] | EAWYF | ?EA?O?Y?N 
ioo(2) 65 | 28 | holy | [21, 26, 15, 3] | [5, 11, 12] | [ad, diffs_incremental, dad] | INGYSO | ING?Y?L(UB) 
ioo(3) 67 | 24 | holy | [3, 23, 20, 21] | [20, 3, 1] | [ad, diffs_decremental, dad] | ODLING | (UB)HIOING 
ioo(4) 46 | 26 | holy | [9, 9, 21, 7] | [0, 12, 14] | [is_odd, hr, diffs_incremental, diffs_is_even, dad] | NNINGW | EEINGO 
ioo(5) 62 | 61 | holy | [28, 8, 25, 1] | [20, 17, 24] | [ad, dad] | EAHAEU | ?EA?JOET 
ioo(6) 69 | 32 | holy | [19, 28, 17, 5] | [9, 11, 12] | [ad, diffs_incremental, dad] | MEABC | W?EA?GTH 
ioo(7) 16 | 11 | holy | [8, 1, 2, 5] | [7, 1, 3] | [ad, diffs_is_odd, dad] | HUTHC | JT(FID)TH 
ioo(8) 47 | 40 | holy | [2, 18, 7, 20] | [16, 11, 13] | [ad, dad] | THEWL | (FID)XOIO 
ioo(9) 67 | 51 | holy | [26, 0, 16, 25] | [26, 16, 9] | [ad, diffs_decremental, dad] | YFTAE | ?Y?NYOE 
ioo(10) 68 | 42 | holy | [25, 17, 3, 23] | [8, 14, 20] | [is_odd, ad, diffs_incremental, diffs_is_even, dad] | AEBOD | OEG(UB)H 
ioo(11) 47 | 30 | holy | [10, 0, 19, 18] | [10, 19, 1] | [ad, dad] | IFME | ANWX 
ioo(12) 64 | 21 | holy | [11, 23, 16, 14] | [12, 7, 2] | [ad, diffs_decremental, dad] | JDTX | RHY(PAE) 
ioo(13) 56 | 55 | holy | [10, 22, 1, 23] | [12, 21, 22] | [ad, diffs_incremental, dad] | IOEUD | AEATH 
ioo(14) 45 | 18 | holy | [5, 17, 12, 11] | [12, 5, 1] | [ad, diffs_decremental, dad] | CBEOJ | THGEOR 
Results for wingtree30.txt
ioo(0) 79 | 8 | holy | [15, 21, 22, 21] | [6, 1, 1] | [hr, diffs_decremental, dhr] | SINGOEING | LINGEAING 
ioo(1) 35 | 36 | holy | [10, 23, 2, 0] | [13, 21, 2] | [ad, dad] | IDTHF | AH(FID)N 
ioo(2) 48 | 21 | holy | [18, 15, 4, 11] | [3, 11, 7] | [ad, diffs_is_odd, dad, diffs_all_prime] | ESRJ | XL?R?R 
ioo(3) 62 | 52 | holy | [23, 7, 25, 7] | [16, 18, 18] | [is_odd, hr, diffs_incremental, diffs_is_even, dhr] | DWAEW | HOOEO 
ioo(4) 60 | 30 | holy | [15, 4, 18, 23] | [11, 14, 5] | [ad, dad] | SRED | L?R?XH 
ioo(5) 48 | 41 | holy | [13, 0, 21, 14] | [13, 21, 7] | [ad, diffs_is_odd, dad] | PFINGX | (CM)NING(PAE) 
ioo(6) 79 | 39 | holy | [26, 22, 6, 25] | [4, 16, 19] | [ad, diffs_incremental, dad] | YOEGAE | ?Y?EA?G?OE 
ioo(7) 52 | 43 | holy | [15, 21, 0, 16] | [6, 21, 16] | [ad, dad] | SINGFT | LINGNY 
ioo(8) 73 | 23 | holy | [4, 24, 24, 21] | [20, 0, 3] | [hr, dad] | RAAING | ?R?SSING 
Results for wingtree31.txt
ioo(0) 62 | 66 | holy | [4, 27, 5, 26] | [23, 22, 21] | [ad, diffs_decremental, dad] | RIOCY | ?R??IO?TH?Y? 
ioo(1) 49 | 36 | holy | [2, 16, 23, 8] | [14, 7, 15] | [ad, dad] | THTDH | (FID)YHJ 
ioo(2) 87 | 21 | holy | [17, 28, 20, 22] | [11, 8, 2] | [ad, diffs_decremental, dad] | BEALOE | G?EA?IOEA 
ioo(3) 51 | 63 | holy | [2, 28, 4, 17] | [26, 24, 13] | [ad, diffs_decremental, dad] | THEARB | (FID)?EA??R?G 
ioo(4) 46 | 28 | holy | [16, 23, 5, 2] | [7, 18, 3] | [ad, dad] | TDCTH | YHTH(FID) 
ioo(5) 68 | 48 | holy | [8, 26, 10, 24] | [18, 16, 14] | [is_even, ad, diffs_decremental, diffs_is_even, dad] | HYIA | J?Y?AS 
ioo(6) 56 | 16 | holy | [19, 14, 16, 7] | [5, 2, 9] | [ad, dad] | MXTW | W(PAE)YO 
ioo(7) 56 | 20 | holy | [11, 7, 15, 23] | [4, 8, 8] | [is_odd, ad, diffs_incremental, diffs_is_even, dhr] | JWSD | ROLH 
ioo(8) 44 | 36 | holy | [5, 14, 4, 21] | [9, 10, 17] | [ad, diffs_incremental, dad] | CXRING | TH(PAE)?R?ING 
ioo(9) 66 | 26 | holy | [23, 9, 13, 21] | [14, 4, 8] | [is_odd, ad, diffs_is_even, dad] | DNPING | HE(CM)ING 
ioo(10) 44 | 27 | holy | [15, 11, 2, 16] | [4, 9, 14] | [ad, diffs_incremental, dad] | SJTHT | LR(FID)Y 
Results for wingtree32.txt
ioo(0) 55 | 26 | holy | [22, 14, 17, 2] | [8, 3, 15] | [ad, dad] | OEXBTH | EA(PAE)G(FID) 
ioo(1) 47 | 12 | holy | [7, 10, 11, 19] | [3, 1, 8] | [incremental, ad, dad] | WIJM | OARW 
ioo(2) 60 | 47 | holy | [16, 3, 26, 15] | [13, 23, 11] | [ad, diffs_is_odd, dad, diffs_all_prime] | TOYS | Y(UB)?Y?L 
Results for cuneiform33.txt
ioo(0) 47 | 26 | holy | [4, 20, 13, 10] | [16, 7, 3] | [ad, diffs_decremental, dad] | RLPI | ?R?IO(CM)A 
ioo(1) 68 | 39 | holy | [26, 8, 7, 27] | [18, 1, 20] | [ad, dad] | YHWIO | ?Y?JO?IO? 
ioo(2) 87 | 27 | holy | [24, 12, 26, 25] | [12, 14, 1] | [ad, dad] | AEOYAE | SEO?Y?OE 
ioo(3) 69 | 29 | holy | [15, 25, 23, 6] | [10, 2, 17] | [ad, dad] | SAEDG | LOEH?G? 
ioo(4) 75 | 46 | holy | [6, 28, 15, 26] | [22, 13, 11] | [ad, diffs_decremental, dad] | GEASY | ?G??EA?L?Y? 
ioo(5) 77 | 40 | holy | [28, 28, 3, 18] | [0, 25, 15] | [hr, dad] | EAEAOE | ?EA??EA?(UB)X 
ioo(6) 26 | 25 | holy | [12, 3, 10, 1] | [9, 7, 9] | [ad, diffs_is_odd, dhr] | EOOIU | EO(UB)AT 
Results for cuneiform34.txt
ioo(0) 29 | 45 | holy | [0, 16, 0, 13] | [16, 16, 13] | [hr, diffs_decremental, dhr] | FTFP | NYN(CM) 
ioo(1) 80 | 9 | holy | [15, 17, 24, 24] | [2, 7, 0] | [incremental, hr, dad, diffs_all_prime] | SBAA | LGSS 
ioo(2) 71 | 17 | holy | [14, 16, 24, 17] | [2, 8, 7] | [ad, dad] | XTAB | (PAE)YSG 
ioo(3) 60 | 47 | holy | [3, 28, 23, 6] | [25, 5, 17] | [ad, diffs_is_odd, dad] | OEADG | (UB)?EA?H?G? 
ioo(4) 80 | 15 | holy | [20, 17, 24, 19] | [3, 7, 5] | [ad, diffs_is_odd, dad, diffs_all_prime] | LBAM | IOGSW 
ioo(5) 68 | 32 | holy | [15, 18, 8, 27] | [3, 10, 19] | [ad, diffs_incremental, dad] | SEHIO | LXJ?IO? 
ioo(6) 42 | 38 | holy | [5, 22, 14, 1] | [17, 8, 13] | [ad, dad] | COEXU | THEA(PAE)T 
ioo(7) 60 | 41 | holy | [5, 26, 23, 6] | [21, 3, 17] | [ad, diffs_is_odd, dad] | CYDG | TH?Y?H?G? 
ioo(8) 68 | 31 | holy | [9, 3, 28, 28] | [6, 25, 0] | [hr, dad] | NOEAEA | E(UB)?EA??EA? 
ioo(9) 43 | 20 | holy | [9, 3, 14, 17] | [6, 11, 3] | [ad, dad] | NOXB | E(UB)(PAE)G 
ioo(10) 88 | 17 | holy | [16, 27, 22, 23] | [11, 5, 1] | [ad, diffs_decremental, diffs_is_odd, dad] | TIOOED | Y?IO?EAH 
ioo(11) 82 | 14 | holy | [28, 23, 15, 16] | [5, 8, 1] | [ad, dad] | EADST | ?EA?HLY 
ioo(12) 65 | 27 | holy | [14, 20, 24, 7] | [6, 4, 17] | [ad, dad] | XLAW | (PAE)IOSO 
Results for cuneiform35.txt
ioo(0) 67 | 14 | holy | [13, 13, 14, 27] | [0, 1, 13] | [incremental, hr, diffs_incremental, dad] | PPXIO | (CM)(CM)(PAE)?IO? 
ioo(1) 61 | 31 | holy | [24, 21, 3, 13] | [3, 18, 10] | [ad, dad] | AINGOP | SING(UB)(CM) 
ioo(2) 38 | 40 | holy | [3, 11, 1, 23] | [8, 10, 22] | [is_odd, ad, diffs_incremental, diffs_is_even, dad] | OJUD | (UB)RTH 
ioo(3) 60 | 44 | holy | [13, 3, 27, 17] | [10, 24, 10] | [is_odd, ad, diffs_is_even, dhr] | POIOB | (CM)(UB)?IO?G 
ioo(4) 43 | 36 | holy | [11, 21, 2, 9] | [10, 19, 7] | [ad, dad] | JINGTHN | RING(FID)E 
ioo(5) 31 | 43 | holy | [2, 22, 2, 5] | [20, 20, 3] | [hr, diffs_decremental, dhr] | THOETHC | (FID)EA(FID)TH 
ioo(6) 46 | 64 | holy | [2, 22, 0, 22] | [20, 22, 22] | [is_even, hr, diffs_incremental, diffs_is_even, dhr] | THOEFOE | (FID)EANEA 
ioo(7) 53 | 38 | holy | [27, 2, 9, 15] | [25, 7, 6] | [ad, diffs_decremental, dad] | IOTHNS | ?IO?(FID)EL 
ioo(8) 46 | 19 | holy | [12, 9, 6, 19] | [3, 3, 13] | [ad, diffs_incremental, diffs_is_odd, dhr, diffs_all_prime] | EONGM | EOE?G?W 
Results for cuneiform36.txt
ioo(0) 38 | 31 | holy | [22, 4, 1, 11] | [18, 3, 10] | [ad, dad] | OERUJ | EA?R?TR 
ioo(1) 86 | 27 | holy | [12, 28, 21, 25] | [16, 7, 4] | [ad, diffs_decremental, dad] | EOEAINGAE | EO?EA?INGOE 
ioo(2) 85 | 31 | holy | [25, 10, 24, 26] | [15, 14, 2] | [ad, diffs_decremental, dad] | AEIAY | OEAS?Y? 
ioo(3) 87 | 18 | holy | [24, 17, 18, 28] | [7, 1, 10] | [ad, dad] | ABEEA | SGX?EA? 
Results for cuneiform37.txt
ioo(0) 68 | 36 | holy | [1, 23, 27, 17] | [22, 4, 10] | [is_odd, ad, diffs_is_even, dad] | UDIOB | TH?IO?G 
ioo(1) 64 | 40 | holy | [1, 27, 23, 13] | [26, 4, 10] | [is_odd, ad, diffs_is_even, dad] | UIODP | T?IO?H(CM) 
ioo(2) 72 | 25 | holy | [8, 25, 22, 17] | [17, 3, 5] | [ad, diffs_is_odd, dad, diffs_all_prime] | HAEOEB | JOEEAG 
ioo(3) 54 | 37 | holy | [26, 3, 14, 11] | [23, 11, 3] | [ad, diffs_decremental, diffs_is_odd, dad, diffs_all_prime] | YOXJ | ?Y?(UB)(PAE)R 
ioo(4) 53 | 34 | holy | [26, 4, 13, 10] | [22, 9, 3] | [ad, diffs_decremental, dad] | YRPI | ?Y??R?(CM)A 
ioo(5) 60 | 45 | holy | [21, 12, 1, 26] | [9, 11, 25] | [ad, diffs_incremental, diffs_is_odd, dad] | INGEOUY | INGEOT?Y? 
ioo(6) 80 | 20 | holy | [26, 21, 13, 20] | [5, 8, 7] | [ad, dad] | YINGPL | ?Y?ING(CM)IO 
ioo(7) 88 | 43 | holy | [28, 6, 27, 27] | [22, 21, 0] | [hr, diffs_decremental, dad] | EAGIOIO | ?EA??G??IO??IO? 
ioo(8) 71 | 19 | holy | [25, 17, 19, 10] | [8, 2, 9] | [ad, dad] | AEBMI | OEGWA 
ioo(9) 68 | 31 | holy | [24, 28, 15, 1] | [4, 13, 14] | [ad, diffs_incremental, dad] | AEASU | S?EA?LT 
ioo(10) 33 | 18 | holy | [2, 4, 7, 20] | [2, 3, 13] | [incremental, ad, diffs_incremental, dad, diffs_all_prime] | THRWL | (FID)?R?OIO 
ioo(11) 56 | 75 | holy | [25, 3, 28, 0] | [22, 25, 28] | [ad, diffs_incremental, dad] | AEOEAF | OE(UB)?EA?N 
ioo(12) 62 | 28 | holy | [28, 22, 4, 8] | [6, 18, 4] | [is_even, ad, diffs_is_even, dad] | EAOERH | ?EA?EA?R?J 
Results for cuneiform38.txt
ioo(0) 23 | 20 | holy | [7, 1, 10, 5] | [6, 9, 5] | [ad, dad] | WUIC | OTATH 
ioo(1) 53 | 7 | holy | [10, 10, 16, 17] | [0, 6, 1] | [incremental, hr, dad] | IITB | AAYG 
ioo(2) 57 | 16 | holy | [8, 19, 16, 14] | [11, 3, 2] | [ad, diffs_decremental, dad, diffs_all_prime] | HMTX | JWY(PAE) 
ioo(3) 75 | 29 | holy | [25, 25, 7, 18] | [0, 18, 11] | [hr, dad] | AEAEWE | OEOEOX 
ioo(4) 77 | 37 | holy | [28, 17, 25, 7] | [11, 8, 18] | [ad, dad] | EABAEW | ?EA?GOEO 
Results for cuneiform39.txt
ioo(0) 41 | 44 | holy | [1, 20, 5, 15] | [19, 15, 10] | [ad, diffs_decremental, dad] | ULCS | TIOTHL 
ioo(1) 62 | 39 | holy | [17, 23, 4, 18] | [6, 19, 14] | [ad, dad] | BDRE | GH?R?X 
ioo(2) 72 | 52 | holy | [27, 20, 0, 25] | [7, 20, 25] | [ad, diffs_incremental, dad] | IOLFAE | ?IO?IONOE 
ioo(3) 62 | 48 | holy | [27, 1, 19, 15] | [26, 18, 4] | [is_odd, ad, diffs_decremental, diffs_is_even, dad] | IOUMS | ?IO?TWL 
ioo(4) 81 | 18 | holy | [27, 23, 22, 9] | [4, 1, 13] | [decremental, ad, dad] | IODOEN | ?IO?HEAE 
ioo(5) 50 | 42 | holy | [5, 20, 24, 1] | [15, 4, 23] | [ad, dad] | CLAU | THIOST 
ioo(6) 69 | 32 | holy | [27, 9, 10, 23] | [18, 1, 13] | [ad, dad] | IONID | ?IO?EAH 
ioo(7) 22 | 7 | holy | [9, 7, 4, 2] | [2, 3, 2] | [decremental, ad, dhr, diffs_all_prime] | NWRTH | EO?R?(FID) 
ioo(8) 39 | 37 | holy | [1, 16, 20, 2] | [15, 4, 18] | [ad, dad] | UTLTH | TYIO(FID) 
Results for spiralbranch40.txt
ioo(0) 62 | 43 | holy | [4, 25, 12, 21] | [21, 13, 9] | [ad, diffs_decremental, diffs_is_odd, dad] | RAEEOING | ?R?OEEOING 
ioo(1) 67 | 24 | holy | [11, 21, 14, 21] | [10, 7, 7] | [hr, diffs_decremental, dhr] | JINGXING | RING(PAE)ING 
