Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
ioo(4) 82 | 8 | holy | [21, 20, 18, 23] | [1, 2, 5] | [ad, diffs_incremental, dad] | INGLED | INGIOXH 
ioo(5) 20 | 26 | holy | [2, 0, 14, 4] | [2, 14, 10] | [is_even, ad, diffs_is_even, dad] | THFXR | (FID)N(PAE)?R? 
ioo(6) 59 | 24 | holy | [0, 20, 21, 18] | [20, 1, 3] | [ad, dad] | FLINGE | NIOINGX 
ioo(7) 53 | 24 | holy | [22, 8, 7, 16] | [14, 1, 9] | [ad, dad] | OEHWT | EAJOY 
ioo(8) 79 | 8 | holy | [18, 22, 21, 18] | [4, 1, 3] | [hr, dad] | EOEINGE | XEAINGX 
ioo(9) 52 | 22 | holy | [2, 8, 22, 20] | [6, 14, 2] | [is_even, ad, diffs_is_even, dad] | THHOEL | (FID)JEAIO 
ioo(10) 57 | 23 | holy | [3, 21, 17, 16] | [18, 4, 1] | [ad, diffs_decremental, dad] | OINGBT | (UB)INGGY 
ioo(11) 53 | 11 | holy | [17, 10, 12, 14] | [7, 2, 2] | [ad, diffs_decremental, dhr, diffs_all_prime] | BIEOX | GAEO(PAE) 
ioo(12) 40 | 36 | holy | [6, 21, 13, 0] | [15, 8, 13] | [ad, dad] | GINGPF | ?G?ING(CM)N 
Results for spiral6.txt
ioo(0) 43 | 58 | holy | [22, 0, 19, 2] | [22, 19, 17] | [ad, diffs_decremental, dad] | OEFMTH | EANW(FID) 
ioo(1) 72 | 16 | holy | [16, 13, 23, 20] | [3, 10, 3] | [ad, dhr] | TPDL | Y(CM)HIO 
ioo(2) 95 | 7 | holy | [27, 24, 24, 20] | [3, 0, 4] | [decremental, hr, dad] | IOAAL | ?IO?SSIO 
ioo(3) 54 | 20 | holy | [26, 15, 7, 6] | [11, 8, 1] | [decremental, ad, diffs_decremental, dad] | YSWG | ?Y?LO?G? 
ioo(4) 64 | 43 | holy | [24, 10, 23, 7] | [14, 13, 16] | [ad, dad] | AIDW | SAHO 
ioo(5) 58 | 19 | holy | [15, 12, 9, 22] | [3, 3, 13] | [ad, diffs_incremental, diffs_is_odd, dhr, diffs_all_prime] | SEONOE | LEOEEA 
ioo(6) 80 | 25 | holy | [11, 27, 20, 22] | [16, 7, 2] | [ad, diffs_decremental, dad] | JIOLOE | R?IO?IOEA 
Results for spiral7.txt
ioo(0) 62 | 28 | holy | [20, 16, 22, 4] | [4, 6, 18] | [is_even, ad, diffs_incremental, diffs_is_even, dad] | LTOER | IOYEA?R? 
ioo(1) 71 | 20 | holy | [20, 24, 19, 8] | [4, 5, 11] | [ad, diffs_incremental, dad] | LAMH | IOSWJ 
ioo(2) 67 | 26 | holy | [26, 17, 8, 16] | [9, 9, 8] | [ad, diffs_decremental, dhr] | YBHT | ?Y?GJY 
ioo(3) 73 | 14 | holy | [19, 23, 18, 13] | [4, 5, 5] | [ad, diffs_incremental, dhr] | MDEP | WHX(CM) 
ioo(4) 63 | 28 | holy | [12, 24, 19, 8] | [12, 5, 11] | [ad, dad] | EOAMH | EOSWJ 
ioo(5) 30 | 28 | holy | [9, 19, 1, 1] | [10, 18, 0] | [is_odd, hr, diffs_is_even, dad] | NMUU | EWTT 
ioo(6) 64 | 28 | holy | [1, 23, 19, 21] | [22, 4, 2] | [is_odd, ad, diffs_decremental, diffs_is_even, dad] | UDMING | THWING 
ioo(7) 56 | 59 | holy | [12, 27, 0, 17] | [15, 27, 17] | [ad, diffs_is_odd, dad] | EOIOFB | EO?IO?NG 
ioo(8) 35 | 34 | holy | [4, 7, 0, 24] | [3, 7, 24] | [ad, diffs_incremental, dad] | RWFA | ?R?ONS 
ioo(9) 66 | 20 | holy | [14, 13, 11, 28] | [1, 2, 17] | [ad, diffs_incremental, dad] | XPJEA | (PAE)(CM)R?EA? 
Results for branch8.txt
ioo(0) 58 | 18 | holy | [6, 7, 23, 22] | [1, 16, 1] | [ad, dhr] | GWDOE | ?G?OHEA 
ioo(1) 51 | 43 | holy | [13, 7, 25, 6] | [6, 18, 19] | [ad, diffs_incremental, dad] | PWAEG | (CM)OOE?G? 
ioo(2) 68 | 19 | holy | [7, 17, 18, 26] | [10, 1, 8] | [incremental, ad, dad] | WBEY | OGX?Y? 
ioo(3) 49 | 27 | holy | [5, 18, 10, 16] | [13, 8, 6] | [ad, diffs_decremental, dad] | CEIT | THXAY 
ioo(4) 81 | 7 | holy | [18, 17, 23, 23] | [1, 6, 0] | [hr, dad] | EBDD | XGHH 
ioo(5) 42 | 27 | holy | [5, 4, 21, 12] | [1, 17, 9] | [ad, diffs_is_odd, dad] | CRINGEO | TH?R?INGEO 
ioo(6) 56 | 28 | holy | [4, 22, 18, 12] | [18, 4, 6] | [is_even, ad, diffs_is_even, dad] | ROEEEO | ?R?EAXEO 
ioo(7) 99 | 8 | holy | [24, 22, 27, 26] | [2, 5, 1] | [ad, dad] | AOEIOY | SEA?IO??Y? 
ioo(8) 12 | 7 | holy | [3, 2, 1, 6] | [1, 1, 5] | [ad, diffs_incremental, diffs_is_odd, dhr] | OTHUG | (UB)(FID)T?G? 
ioo(9) 90 | 17 | holy | [12, 26, 27, 25] | [14, 1, 2] | [ad, dad] | EOYIOAE | EO?Y??IO?OE 
Results for branch9.txt
ioo(0) 37 | 46 | holy | [8, 5, 24, 0] | [3, 19, 24] | [ad, diffs_incremental, dad] | HCAF | JTHSN 
ioo(1) 64 | 44 | holy | [20, 1, 17, 26] | [19, 16, 9] | [ad, diffs_decremental, dad] | LUBY | IOTG?Y? 
ioo(2) 79 | 25 | holy | [3, 23, 25, 28] | [20, 2, 3] | [incremental, ad, dad] | ODAEEA | (UB)HOE?EA? 
ioo(3) 52 | 30 | holy | [0, 20, 14, 18] | [20, 6, 4] | [is_even, ad, diffs_decremental, diffs_is_even, dad] | FLXE | NIO(PAE)X 
ioo(4) 64 | 37 | holy | [27, 10, 19, 8] | [17, 9, 11] | [ad, diffs_is_odd, dad] | IOIMH | ?IO?AWJ 
ioo(5) 37 | 30 | holy | [6, 7, 20, 4] | [1, 13, 16] | [ad, diffs_incremental, dad] | GWLR | ?G?OIO?R? 
ioo(6) 40 | 36 | holy | [4, 19, 5, 12] | [15, 14, 7] | [ad, diffs_decremental, dad] | RMCEO | ?R?WTHEO 
ioo(7) 38 | 30 | holy | [7, 19, 11, 1] | [12, 8, 10] | [is_odd, ad, diffs_is_even, dad] | WMJU | OWRT 
Results for branch10.txt
ioo(0) 85 | 38 | holy | [27, 28, 7, 23] | [1, 21, 16] | [ad, dad] | IOEAWD | ?IO??EA?OH 
ioo(1) 82 | 23 | holy | [21, 12, 23, 26] | [9, 11, 3] | [ad, diffs_is_odd, dad] | INGEODY | INGEOH?Y? 
ioo(2) 26 | 24 | holy | [10, 3, 11, 2] | [7, 8, 9] | [ad, diffs_incremental, dad] | IOJTH | A(UB)R(FID) 
ioo(3) 83 | 20 | holy | [15, 19, 28, 21] | [4, 9, 7] | [ad, dad] | SMEAING | LW?EA?ING 
ioo(4) 40 | 23 | holy | [7, 16, 15, 2] | [9, 1, 13] | [ad, diffs_is_odd, dad] | WTSTH | OYL(FID) 
ioo(5) 40 | 27 | holy | [4, 1, 10, 25] | [3, 9, 15] | [ad, diffs_incremental, diffs_is_odd, dad] | RUIAE | ?R?TAOE 
ioo(6) 65 | 22 | holy | [12, 15, 24, 14] | [3, 9, 10] | [ad, diffs_incremental, dad] | EOSAX | EOLS(PAE) 
