Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
ioo(6) 49 | 63 | seek | [1, 28, 4, 16] | [27, 24, 12] | [ad, diffs_decremental, dad] | UEART | T?EA??R?Y 
ioo(7) 46 | 14 | seek | [8, 9, 17, 12] | [1, 8, 5] | [ad, dad] | HNBEO | JEGEO 
ioo(8) 26 | 25 | seek | [9, 0, 1, 16] | [9, 1, 15] | [ad, diffs_is_odd, dad] | NFUT | ENTY 
ioo(9) 65 | 33 | seek | [27, 14, 6, 18] | [13, 8, 12] | [ad, dad] | IOXGE | ?IO?(PAE)?G?X 
Results for mobius20.txt
ioo(0) 46 | 15 | seek | [15, 8, 13, 10] | [7, 5, 3] | [ad, diffs_decremental, diffs_is_odd, dad, diffs_all_prime] | SHPI | LJ(CM)A 
ioo(1) 49 | 14 | seek | [15, 16, 15, 3] | [1, 1, 12] | [hr, diffs_incremental, dhr] | STSO | LYL(UB) 
ioo(2) 65 | 36 | seek | [25, 12, 21, 7] | [13, 9, 14] | [ad, dad] | AEEOINGW | OEEOINGO 
ioo(3) 46 | 11 | seek | [6, 9, 16, 15] | [3, 7, 1] | [ad, diffs_is_odd, dad] | GNTS | ?G?EYL 
ioo(4) 57 | 43 | seek | [26, 11, 1, 19] | [15, 10, 18] | [ad, dad] | YJUM | ?Y?RTW 
ioo(5) 60 | 62 | seek | [20, 2, 28, 10] | [18, 26, 18] | [is_even, ad, diffs_is_even, dhr] | LTHEAI | IO(FID)?EA?A 
ioo(6) 72 | 27 | seek | [21, 27, 10, 14] | [6, 17, 4] | [ad, dad] | INGIOIX | ING?IO?A(PAE) 
ioo(7) 93 | 14 | seek | [19, 25, 22, 27] | [6, 3, 5] | [ad, dad] | MAEOEIO | WOEEA?IO? 
ioo(8) 70 | 33 | seek | [24, 8, 21, 17] | [16, 13, 4] | [ad, diffs_decremental, dad] | AHINGB | SJINGG 
ioo(9) 59 | 29 | seek | [1, 17, 15, 26] | [16, 2, 11] | [ad, dad] | UBSY | TGL?Y? 
ioo(10) 66 | 44 | seek | [12, 28, 26, 0] | [16, 2, 26] | [is_even, ad, diffs_is_even, dad] | EOEAYF | EO?EA??Y?N 
ioo(11) 48 | 23 | seek | [12, 4, 17, 15] | [8, 13, 2] | [ad, dad] | EORBS | EO?R?GL 
Results for mobius21.txt
ioo(0) 69 | 63 | seek | [27, 6, 28, 8] | [21, 22, 20] | [ad, dad] | IOGEAH | ?IO??G??EA?J 
ioo(1) 22 | 11 | seek | [12, 8, 1, 1] | [4, 7, 0] | [decremental, hr, dad] | EOHUU | EOJTT 
ioo(2) 89 | 24 | seek | [27, 19, 26, 17] | [8, 7, 9] | [ad, dad] | IOMYB | ?IO?W?Y?G 
ioo(3) 72 | 27 | seek | [18, 8, 21, 25] | [10, 13, 4] | [ad, dad] | EHINGAE | XJINGOE 
ioo(4) 100 | 20 | seek | [28, 18, 26, 28] | [10, 8, 2] | [is_even, hr, diffs_decremental, diffs_is_even, dad] | EAEYEA | ?EA?X?Y??EA? 
ioo(5) 95 | 10 | seek | [17, 25, 26, 27] | [8, 1, 1] | [incremental, ad, diffs_decremental, dhr] | BAEYIO | GOE?Y??IO? 
ioo(6) 64 | 56 | seek | [25, 11, 27, 1] | [14, 16, 26] | [is_odd, ad, diffs_incremental, diffs_is_even, dad] | AEJIOU | OER?IO?T 
Results for mobius22.txt
ioo(0) 74 | 17 | seek | [9, 19, 20, 26] | [10, 1, 6] | [incremental, ad, dad] | NMLY | EWIO?Y? 
ioo(1) 58 | 75 | seek | [3, 26, 1, 28] | [23, 25, 27] | [ad, diffs_incremental, diffs_is_odd, dad] | OYUEA | (UB)?Y?T?EA? 
ioo(2) 73 | 26 | seek | [15, 22, 13, 23] | [7, 9, 10] | [ad, diffs_incremental, dad] | SOEPD | LEA(CM)H 
ioo(3) 46 | 12 | seek | [7, 10, 10, 19] | [3, 0, 9] | [incremental, hr, dad] | WIIM | OAAW 
ioo(4) 78 | 29 | seek | [26, 25, 8, 19] | [1, 17, 11] | [ad, diffs_is_odd, dad] | YAEHM | ?Y?OEJW 
Results for mayfly23.txt
ioo(0) 74 | 26 | seek | [9, 22, 26, 17] | [13, 4, 9] | [ad, dad] | NOEYB | EEA?Y?G 
ioo(1) 59 | 10 | seek | [15, 18, 15, 11] | [3, 3, 4] | [hr, diffs_incremental, dhr] | SESJ | LXLR 
ioo(2) 37 | 41 | seek | [0, 0, 26, 11] | [0, 26, 15] | [hr, dad] | FFYJ | NN?Y?R 
ioo(3) 37 | 33 | seek | [5, 18, 4, 10] | [13, 14, 6] | [ad, dad] | CERI | THX?R?A 
ioo(4) 59 | 55 | seek | [5, 27, 7, 20] | [22, 20, 13] | [ad, diffs_decremental, dad] | CIOWL | TH?IO?OIO 
ioo(5) 66 | 53 | seek | [23, 2, 25, 16] | [21, 23, 9] | [ad, diffs_is_odd, dad] | DTHAET | H(FID)OEY 
ioo(6) 54 | 24 | seek | [24, 9, 7, 14] | [15, 2, 7] | [ad, dad] | ANWX | SEO(PAE) 
ioo(7) 54 | 44 | seek | [22, 0, 18, 14] | [22, 18, 4] | [is_even, ad, diffs_decremental, diffs_is_even, dad] | OEFEX | EANX(PAE) 
ioo(8) 64 | 35 | seek | [9, 19, 10, 26] | [10, 9, 16] | [ad, dad] | NMIY | EWA?Y? 
Results for mayfly24.txt
ioo(0) 60 | 27 | seek | [23, 16, 19, 2] | [7, 3, 17] | [ad, diffs_is_odd, dad, diffs_all_prime] | DTMTH | HYW(FID) 
ioo(1) 66 | 36 | seek | [21, 4, 18, 23] | [17, 14, 5] | [ad, diffs_decremental, dad] | INGRED | ING?R?XH 
ioo(2) 65 | 35 | seek | [23, 25, 3, 14] | [2, 22, 11] | [ad, dad] | DAEOX | HOE(UB)(PAE) 
ioo(3) 57 | 43 | seek | [21, 5, 21, 10] | [16, 16, 11] | [hr, diffs_decremental, dhr] | INGCINGI | INGTHINGA 
ioo(4) 50 | 40 | seek | [17, 7, 1, 25] | [10, 6, 24] | [is_odd, ad, diffs_is_even, dad] | BWUAE | GOTOE 
ioo(5) 52 | 16 | seek | [4, 14, 14, 20] | [10, 0, 6] | [incremental, is_even, hr, diffs_is_even, dad] | RXXL | ?R?(PAE)(PAE)IO 
ioo(6) 34 | 43 | seek | [0, 15, 2, 17] | [15, 13, 15] | [ad, diffs_is_odd, dhr] | FSTHB | NL(FID)G 
ioo(7) 44 | 22 | seek | [7, 10, 6, 21] | [3, 4, 15] | [ad, diffs_incremental, dad] | WIGING | OA?G?ING 
ioo(8) 50 | 35 | seek | [3, 24, 11, 12] | [21, 13, 1] | [ad, diffs_decremental, diffs_is_odd, dad] | OAJEO | (UB)SREO 
ioo(9) 54 | 17 | seek | [18, 13, 16, 7] | [5, 3, 9] | [ad, diffs_is_odd, dad] | EPTW | X(CM)YO 
ioo(10) 71 | 31 | seek | [13, 27, 21, 10] | [14, 6, 11] | [ad, dad] | PIOINGI | (CM)?IO?INGA 
ioo(11) 55 | 27 | seek | [1, 7, 19, 28] | [6, 12, 9] | [incremental, ad, dad] | UWMEA | TOW?EA? 
ioo(12) 58 | 33 | seek | [18, 3, 16, 21] | [15, 13, 5] | [ad, diffs_decremental, diffs_is_odd, dad] | EOTING | X(UB)YING 
Results for mayfly25.txt
ioo(0) 53 | 26 | seek | [5, 3, 24, 21] | [2, 21, 3] | [ad, dad] | COAING | TH(UB)SING 
ioo(1) 60 | 63 | seek | [3, 27, 6, 24] | [24, 21, 18] | [ad, diffs_decremental, dad] | OIOGA | (UB)?IO??G?S 
ioo(2) 48 | 33 | seek | [0, 6, 25, 17] | [6, 19, 8] | [ad, dad] | FGAEB | N?G?OEG 
ioo(3) 56 | 42 | seek | [23, 2, 18, 13] | [21, 16, 5] | [ad, diffs_decremental, dad] | DTHEP | H(FID)X(CM) 
ioo(4) 62 | 39 | seek | [20, 2, 17, 23] | [18, 15, 6] | [ad, diffs_decremental, dad] | LTHBD | IO(FID)GH 
ioo(5) 42 | 19 | seek | [13, 5, 8, 16] | [8, 3, 8] | [ad, dhr] | PCHT | (CM)THJY 
ioo(6) 66 | 23 | seek | [24, 10, 17, 15] | [14, 7, 2] | [ad, diffs_decremental, dad] | AIBS | SAGL 
ioo(7) 51 | 50 | seek | [4, 19, 4, 24] | [15, 15, 20] | [hr, diffs_incremental, dhr] | RMRA | ?R?W?R?S 
ioo(8) 86 | 28 | seek | [18, 26, 16, 26] | [8, 10, 10] | [is_even, hr, diffs_incremental, diffs_is_even, dhr] | EYTY | X?Y?Y?Y? 
ioo(9) 68 | 39 | seek | [26, 17, 4, 21] | [9, 13, 17] | [ad, diffs_incremental, diffs_is_odd, dad] | YBRING | ?Y?G?R?ING 
ioo(10) 38 | 35 | seek | [2, 20, 13, 3] | [18, 7, 10] | [ad, dad] | THLPO | (FID)IO(CM)(UB) 
ioo(11) 79 | 20 | seek | [20, 19, 26, 14] | [1, 7, 12] | [ad, diffs_incremental, dad] | LMYX | IOW?Y?(PAE) 
Results for mayfly26.txt
ioo(0) 74 | 30 | seek | [17, 20, 10, 27] | [3, 10, 17] | [ad, diffs_incremental, dad] | BLIIO | GIOA?IO? 
ioo(1) 34 | 20 | seek | [23, 5, 3, 3] | [18, 2, 0] | [decremental, is_odd, hr, all_primes, diffs_decremental, diffs_is_even, dad] | DCOO | HTH(UB)(UB) 
ioo(2) 46 | 24 | seek | [6, 19, 13, 8] | [13, 6, 5] | [ad, diffs_decremental, dad] | GMPH | ?G?W(CM)J 
ioo(3) 57 | 12 | seek | [16, 11, 16, 14] | [5, 5, 2] | [hr, diffs_decremental, dhr, diffs_all_prime] | TJTX | YRY(PAE) 
ioo(4) 75 | 13 | seek | [27, 19, 15, 14] | [8, 4, 1] | [decremental, ad, diffs_decremental, dad] | IOMSX | ?IO?WL(PAE) 
ioo(5) 55 | 44 | seek | [18, 3, 22, 12] | [15, 19, 10] | [ad, dad] | EOOEEO | X(UB)EAEO 
ioo(6) 73 | 28 | seek | [15, 10, 27, 21] | [5, 17, 6] | [ad, dad] | SIIOING | LA?IO?ING 
ioo(7) 52 | 54 | seek | [3, 26, 6, 17] | [23, 20, 11] | [ad, diffs_decremental, dad] | OYGB | (UB)?Y??G?G 
ioo(8) 31 | 25 | seek | [1, 11, 15, 4] | [10, 4, 11] | [ad, dad] | UJSR | TRL?R? 
Results for wingtree27.txt
ioo(0) 55 | 39 | seek | [5, 26, 16, 8] | [21, 10, 8] | [ad, diffs_decremental, dad] | CYTH | TH?Y?YJ 
ioo(1) 21 | 20 | seek | [18, 1, 2, 0] | [17, 1, 2] | [ad, dad] | EUTHF | XT(FID)N 
ioo(2) 67 | 38 | seek | [3, 22, 15, 27] | [19, 7, 12] | [ad, dad] | OOESIO | (UB)EAL?IO? 
ioo(3) 79 | 34 | seek | [26, 15, 10, 28] | [11, 5, 18] | [ad, dad] | YSIEA | ?Y?LA?EA? 
ioo(4) 45 | 36 | seek | [13, 17, 0, 15] | [4, 17, 15] | [ad, dad] | PBFS | (CM)GNL 
ioo(5) 45 | 41 | seek | [11, 27, 3, 4] | [16, 24, 1] | [ad, dad] | JIOOR | R?IO?(UB)?R? 
ioo(6) 67 | 37 | seek | [14, 2, 26, 25] | [12, 24, 1] | [ad, dad] | XTHYAE | (PAE)(FID)?Y?OE 
ioo(7) 50 | 26 | seek | [18, 15, 3, 14] | [3, 12, 11] | [ad, dad] | ESOX | XL(UB)(PAE) 
ioo(8) 49 | 61 | seek | [15, 4, 28, 2] | [11, 24, 26] | [ad, diffs_incremental, dad] | SREATH | L?R??EA?(FID) 
ioo(9) 37 | 17 | seek | [11, 3, 11, 12] | [8, 8, 1] | [hr, diffs_decremental, dhr] | JOJEO | R(UB)REO 
ioo(10) 36 | 19 | seek | [8, 4, 5, 19] | [4, 1, 14] | [ad, dad] | HRCM | J?R?THW 
ioo(11) 61 | 38 | seek | [8, 24, 25, 4] | [16, 1, 21] | [ad, dad] | HAAER | JSOE?R? 
Results for wingtree28.txt
ioo(0) 38 | 12 | seek | [7, 12, 8, 11] | [5, 4, 3] | [ad, diffs_decremental, dad] | WEOHJ | OEOJR 
ioo(1) 48 | 63 | seek | [17, 1, 26, 4] | [16, 25, 22] | [ad, dad] | BUYR | GT?Y??R? 
ioo(2) 83 | 31 | seek | [25, 25, 9, 24] | [0, 16, 15] | [hr, dad] | AEAENA | OEOEES 
ioo(3) 53 | 30 | seek | [14, 23, 14, 2] | [9, 9, 12] | [hr, diffs_incremental, dhr] | XDXTH | (PAE)H(PAE)(FID) 
ioo(4) 45 | 39 | seek | [17, 3, 1, 24] | [14, 2, 23] | [ad, dad] | BOUA | G(UB)TS 
ioo(5) 73 | 43 | seek | [19, 2, 24, 28] | [17, 22, 4] | [ad, dad] | MTHAEA | W(FID)S?EA? 
ioo(6) 47 | 44 | seek | [6, 24, 5, 12] | [18, 19, 7] | [ad, dad] | GACEO | ?G?STHEO 
Results for wingtree29.txt
ioo(0) 41 | 23 | seek | [20, 4, 6, 11] | [16, 2, 5] | [ad, dad] | LRGJ | IO?R??G?R 
ioo(1) 91 | 14 | seek | [21, 21, 28, 21] | [0, 7, 7] | [hr, diffs_incremental, dhr, diffs_all_prime] | INGINGEAING | INGING?EA?ING 
ioo(2) 66 | 16 | seek | [14, 11, 17, 24] | [3, 6, 7] | [ad, diffs_incremental, dad] | XJBA | (PAE)RGS 
ioo(3) 68 | 40 | seek | [25, 8, 22, 13] | [17, 14, 9] | [ad, diffs_decremental, dad] | AEHOEP | OEJEA(CM) 
ioo(4) 76 | 26 | seek | [2, 23, 23, 28] | [21, 0, 5] | [incremental, hr, dad] | THDDEA | (FID)HH?EA? 
ioo(5) 92 | 11 | seek | [21, 22, 27, 22] | [1, 5, 5] | [hr, diffs_incremental, diffs_is_odd, dhr] | INGOEIOOE | INGEA?IO?EA 
ioo(6) 70 | 14 | seek | [12, 13, 19, 26] | [1, 6, 7] | [incremental, ad, diffs_incremental, dad] | EOPMY | EO(CM)W?Y? 
ioo(7) 46 | 47 | seek | [1, 15, 4, 26] | [14, 11, 22] | [ad, dad] | USRY | TL?R??Y? 
ioo(8) 48 | 30 | seek | [24, 3, 9, 12] | [21, 6, 3] | [ad, diffs_decremental, dad] | AONEO | S(UB)EEO 
ioo(9) 68 | 10 | seek | [19, 14, 18, 17] | [5, 4, 1] | [ad, diffs_decremental, dad] | MXEB | W(PAE)XG 
ioo(10) 40 | 29 | seek | [18, 2, 5, 15] | [16, 3, 10] | [ad, dad] | ETHCS | X(FID)THL 
ioo(11) 48 | 29 | seek | [3, 14, 21, 10] | [11, 7, 11] | [ad, diffs_is_odd, dhr, diffs_all_prime] | OXINGI | (UB)(PAE)INGA 
ioo(12) 36 | 26 | seek | [4, 8, 18, 6] | [4, 10, 12] | [is_even, ad, diffs_incremental, diffs_is_even, dad] | RHEG | ?R?JX?G? 
ioo(13) 28 | 20 | seek | [3, 7, 3, 15] | [4, 4, 12] | [is_odd, hr, diffs_incremental, diffs_is_even, dhr] | OWOS | (UB)O(UB)L 
ioo(14) 46 | 48 | seek | [27, 2, 14, 3] | [25, 12, 11] | [ad, diffs_decremental, dad] | IOTHXO | ?IO?(FID)(PAE)(UB) 
Results for wingtree30.txt
ioo(0) 51 | 31 | seek | [8, 6, 24, 13] | [2, 18, 11] | [ad, dad] | HGAP | J?G?S(CM) 
ioo(1) 36 | 26 | seek | [3, 8, 4, 21] | [5, 4, 17] | [ad, dad] | OHRING | (UB)J?R?ING 
ioo(2) 20 | 20 | seek | [11, 0, 6, 3] | [11, 6, 3] | [ad, diffs_decremental, dad] | JFGO | RN?G?(UB) 
ioo(3) 92 | 12 | seek | [16, 21, 27, 28] | [5, 6, 1] | [incremental, ad, dad] | TINGIOEA | YING?IO??EA? 
ioo(4) 61 | 17 | seek | [8, 18, 20, 15] | [10, 2, 5] | [ad, dad] | HELS | JXIOL 
ioo(5) 49 | 34 | seek | [6, 14, 23, 6] | [8, 9, 17] | [hr, diffs_incremental, dad] | GXDG | ?G?(PAE)H?G? 
ioo(6) 51 | 22 | seek | [19, 7, 8, 17] | [12, 1, 9] | [ad, dad] | MWHB | WOJG 
ioo(7) 24 | 12 | seek | [8, 6, 2, 8] | [2, 4, 6] | [is_even, hr, diffs_incremental, diffs_is_even, dad] | HGTHH | J?G?(FID)J 
ioo(8) 74 | 47 | seek | [26, 9, 26, 13] | [17, 17, 13] | [hr, diffs_decremental, diffs_is_odd, dhr, diffs_all_prime] | YNYP | ?Y?E?Y?(CM) 
Results for wingtree31.txt
ioo(0) 63 | 30 | seek | [26, 12, 7, 18] | [14, 5, 11] | [ad, dad] | YEOWE | ?Y?EOOX 
ioo(1) 50 | 72 | seek | [24, 1, 25, 0] | [23, 24, 25] | [ad, diffs_incremental, dad] | AUAEF | STOEN 
ioo(2) 59 | 20 | seek | [10, 13, 22, 14] | [3, 9, 8] | [ad, dad] | IPOEX | A(CM)EA(PAE) 
ioo(3) 52 | 21 | seek | [24, 13, 6, 9] | [11, 7, 3] | [ad, diffs_decremental, diffs_is_odd, dad, diffs_all_prime] | APGN | S(CM)?G?E 
ioo(4) 47 | 18 | seek | [9, 8, 7, 23] | [1, 1, 16] | [ad, diffs_incremental, dhr] | NHWD | EJOH 
ioo(5) 40 | 15 | seek | [1, 11, 12, 16] | [10, 1, 4] | [incremental, ad, dad] | UJEOT | TREOY 
ioo(6) 86 | 36 | seek | [12, 28, 18, 28] | [16, 10, 10] | [is_even, hr, diffs_decremental, diffs_is_even, dhr] | EOEAEEA | EO?EA?X?EA? 
ioo(7) 57 | 23 | seek | [4, 21, 17, 15] | [17, 4, 2] | [ad, diffs_decremental, dad] | RINGBS | ?R?INGGL 
ioo(8) 74 | 30 | seek | [27, 28, 6, 13] | [1, 22, 7] | [ad, dad] | IOEAGP | ?IO??EA??G?(CM) 
ioo(9) 67 | 17 | seek | [16, 23, 15, 13] | [7, 8, 2] | [ad, dad] | TDSP | YHL(CM) 
ioo(10) 45 | 42 | seek | [8, 25, 4, 8] | [17, 21, 4] | [hr, dad] | HAERH | JOE?R?J 
Results for wingtree32.txt
ioo(0) 85 | 26 | seek | [15, 28, 19, 23] | [13, 9, 4] | [ad, diffs_decremental, dad] | SEAMD | L?EA?WH 
ioo(1) 48 | 37 | seek | [0, 24, 13, 11] | [24, 11, 2] | [ad, diffs_decremental, dad] | FAPJ | NS(CM)R 
ioo(2) 61 | 40 | seek | [9, 17, 28, 7] | [8, 11, 21] | [ad, diffs_incremental, dad] | NBEAW | EG?EA?O 
Results for cuneiform33.txt
ioo(0) 48 | 44 | seek | [26, 5, 15, 2] | [21, 10, 13] | [ad, dad] | YCSTH | ?Y?THL(FID) 
ioo(1) 69 | 26 | seek | [19, 22, 9, 19] | [3, 13, 10] | [hr, dad] | MOENM | WEAEW 
ioo(2) 88 | 22 | seek | [17, 26, 28, 17] | [9, 2, 11] | [hr, dad] | BYEAB | G?Y??EA?G 
ioo(3) 70 | 19 | seek | [8, 10, 25, 27] | [2, 15, 2] | [incremental, ad, dhr] | HIAEIO | JAOE?IO? 
ioo(4) 76 | 20 | seek | [28, 13, 17, 18] | [15, 4, 1] | [ad, diffs_decremental, dad] | EAPBE | ?EA?(CM)GX 
ioo(5) 49 | 21 | seek | [21, 13, 5, 10] | [8, 8, 5] | [ad, diffs_decremental, dhr] | INGPCI | ING(CM)THA 
ioo(6) 56 | 27 | seek | [5, 17, 12, 22] | [12, 5, 10] | [ad, dad] | CBEOOE | THGEOEA 
Results for cuneiform34.txt
ioo(0) 30 | 25 | seek | [22, 1, 2, 5] | [21, 1, 3] | [ad, diffs_is_odd, dad] | OEUTHC | EAT(FID)TH 
ioo(1) 52 | 40 | seek | [8, 2, 26, 16] | [6, 24, 10] | [is_even, ad, diffs_is_even, dad] | HTHYT | J(FID)?Y?Y 
ioo(2) 43 | 48 | seek | [7, 1, 26, 9] | [6, 25, 17] | [ad, dad] | WUYN | OT?Y?E 
ioo(3) 90 | 26 | seek | [25, 13, 25, 27] | [12, 12, 2] | [is_odd, hr, diffs_decremental, diffs_is_even, dhr] | AEPAEIO | OE(CM)OE?IO? 
ioo(4) 52 | 50 | seek | [13, 2, 26, 11] | [11, 24, 15] | [ad, dad] | PTHYJ | (CM)(FID)?Y?R 
ioo(5) 40 | 21 | seek | [8, 3, 10, 19] | [5, 7, 9] | [ad, diffs_incremental, diffs_is_odd, dad] | HOIM | J(UB)AW 
ioo(6) 72 | 35 | seek | [27, 7, 16, 22] | [20, 9, 6] | [ad, diffs_decremental, dad] | IOWTOE | ?IO?OYEA 
ioo(7) 90 | 32 | seek | [27, 11, 25, 27] | [16, 14, 2] | [is_odd, hr, diffs_decremental, diffs_is_even, dad] | IOJAEIO | ?IO?ROE?IO? 
ioo(8) 40 | 50 | seek | [2, 17, 1, 20] | [15, 16, 19] | [ad, diffs_incremental, dad] | THBUL | (FID)GTIO 
ioo(9) 44 | 23 | seek | [2, 17, 16, 9] | [15, 1, 7] | [ad, diffs_is_odd, dad] | THBTN | (FID)GYE 
ioo(10) 60 | 24 | seek | [9, 12, 24, 15] | [3, 12, 9] | [ad, dad] | NEOAS | EEOSL 
ioo(11) 54 | 31 | seek | [21, 8, 17, 8] | [13, 9, 9] | [hr, diffs_decremental, diffs_is_odd, dhr] | INGHBH | INGJGJ 
ioo(12) 66 | 25 | seek | [7, 5, 26, 28] | [2, 21, 2] | [ad, dhr] | WCYEA | OTH?Y??EA? 
Results for cuneiform35.txt
ioo(0) 68 | 35 | seek | [6, 27, 16, 19] | [21, 11, 3] | [ad, diffs_decremental, diffs_is_odd, dad] | GIOTM | ?G??IO?YW 
ioo(1) 33 | 12 | seek | [17, 6, 5, 5] | [11, 1, 0] | [decremental, hr, diffs_decremental, dad] | BGCC | G?G?THTH 
ioo(2) 68 | 34 | seek | [25, 25, 3, 15] | [0, 22, 12] | [is_odd, hr, diffs_is_even, dad] | AEAEOS | OEOE(UB)L 
ioo(3) 32 | 37 | seek | [6, 17, 0, 9] | [11, 17, 9] | [ad, diffs_is_odd, dad] | GBFN | ?G?GNE 
ioo(4) 15 | 7 | seek | [4, 6, 4, 1] | [2, 2, 3] | [hr, diffs_incremental, dhr, diffs_all_prime] | RGRU | ?R??G??R?T 
ioo(5) 61 | 42 | seek | [24, 7, 4, 26] | [17, 3, 22] | [ad, dad] | AWRY | SO?R??Y? 
ioo(6) 47 | 34 | seek | [24, 7, 2, 14] | [17, 5, 12] | [ad, dad] | AWTHX | SO(FID)(PAE) 
ioo(7) 54 | 13 | seek | [20, 16, 11, 7] | [4, 5, 4] | [decremental, ad, dhr] | LTJW | IOYRO 
ioo(8) 47 | 36 | seek | [5, 23, 8, 11] | [18, 15, 3] | [ad, diffs_decremental, dad] | CDHJ | THHJR 
Results for cuneiform36.txt
ioo(0) 39 | 18 | seek | [15, 18, 3, 3] | [3, 15, 0] | [hr, dad] | SEOO | LX(UB)(UB) 
ioo(1) 58 | 24 | seek | [5, 13, 23, 17] | [8, 10, 6] | [is_odd, ad, all_primes, diffs_is_even, dad] | CPDB | TH(CM)HG 
ioo(2) 86 | 16 | seek | [18, 24, 26, 18] | [6, 2, 8] | [is_even, hr, diffs_is_even, dad] | EAYE | XS?Y?X 
ioo(3) 59 | 33 | seek | [17, 2, 20, 20] | [15, 18, 0] | [hr, dad] | BTHLL | G(FID)IOIO 
Results for cuneiform37.txt
ioo(0) 40 | 32 | seek | [23, 8, 0, 9] | [15, 8, 9] | [ad, dad] | DHFN | HJNE 
ioo(1) 65 | 44 | seek | [23, 12, 25, 5] | [11, 13, 20] | [ad, diffs_incremental, dad] | DEOAEC | HEOOETH 
ioo(2) 44 | 38 | seek | [1, 10, 24, 9] | [9, 14, 15] | [ad, diffs_incremental, dad] | UIAN | TASE 
ioo(3) 55 | 16 | seek | [19, 17, 16, 3] | [2, 1, 13] | [decremental, ad, dad] | MBTO | WGY(UB) 
ioo(4) 54 | 17 | seek | [19, 18, 15, 2] | [1, 3, 13] | [decremental, ad, diffs_incremental, diffs_is_odd, dad] | MESTH | WXL(FID) 
ioo(5) 61 | 50 | seek | [14, 26, 3, 18] | [12, 23, 15] | [ad, dad] | XYOE | (PAE)?Y?(UB)X 
ioo(6) 52 | 25 | seek | [19, 6, 15, 12] | [13, 9, 3] | [ad, diffs_decremental, diffs_is_odd, dad] | MGSEO | W?G?LEO 
ioo(7) 60 | 40 | seek | [21, 20, 0, 19] | [1, 20, 19] | [ad, dad] | INGLFM | INGIONW 
ioo(8) 43 | 54 | seek | [18, 2, 21, 2] | [16, 19, 19] | [hr, diffs_incremental, dhr] | ETHINGTH | X(FID)ING(FID) 
ioo(9) 69 | 13 | seek | [17, 13, 17, 22] | [4, 4, 5] | [hr, diffs_incremental, dhr] | BPBOE | G(CM)GEA 
ioo(10) 63 | 18 | seek | [24, 18, 9, 12] | [6, 9, 3] | [ad, dad] | AENEO | SXEEO 
ioo(11) 57 | 37 | seek | [18, 17, 1, 21] | [1, 16, 20] | [ad, diffs_incremental, dad] | EBUING | XGTING 
ioo(12) 34 | 21 | seek | [21, 7, 6, 0] | [14, 1, 6] | [decremental, ad, dad] | INGWGF | INGO?G?N 
Results for cuneiform38.txt
ioo(0) 53 | 32 | seek | [0, 15, 12, 26] | [15, 3, 14] | [ad, dad] | FSEOY | NLEO?Y? 
ioo(1) 54 | 36 | seek | [3, 24, 18, 9] | [21, 6, 9] | [ad, dad] | OAEN | (UB)SXE 
ioo(2) 29 | 29 | seek | [1, 4, 18, 6] | [3, 14, 12] | [ad, dad] | UREG | T?R?X?G? 
ioo(3) 47 | 10 | seek | [18, 10, 9, 10] | [8, 1, 1] | [hr, diffs_decremental, dhr] | EINI | XAEA 
ioo(4) 78 | 45 | seek | [21, 2, 27, 28] | [19, 25, 1] | [ad, diffs_is_odd, dad] | INGTHIOEA | ING(FID)?IO??EA? 
Results for cuneiform39.txt
ioo(0) 42 | 20 | seek | [23, 5, 7, 7] | [18, 2, 0] | [is_odd, hr, all_primes, diffs_decremental, diffs_is_even, dad] | DCWW | HTHOO 
ioo(1) 34 | 8 | seek | [10, 8, 6, 10] | [2, 2, 4] | [is_even, hr, diffs_incremental, diffs_is_even, dhr] | IHGI | AJ?G?A 
ioo(2) 44 | 33 | seek | [20, 5, 2, 17] | [15, 3, 15] | [ad, diffs_is_odd, dhr] | LCTHB | IOTH(FID)G 
ioo(3) 63 | 25 | seek | [20, 15, 21, 7] | [5, 6, 14] | [ad, diffs_incremental, dad] | LSINGW | IOLINGO 
ioo(4) 53 | 51 | seek | [20, 8, 24, 1] | [12, 16, 23] | [ad, diffs_incremental, dad] | LHAU | IOJST 
ioo(5) 80 | 47 | seek | [27, 5, 26, 22] | [22, 21, 4] | [ad, diffs_decremental, dad] | IOCYOE | ?IO?TH?Y?EA 
ioo(6) 70 | 17 | seek | [20, 23, 12, 15] | [3, 11, 3] | [ad, diffs_is_odd, dhr, diffs_all_prime] | LDEOS | IOHEOL 
ioo(7) 52 | 51 | seek | [2, 21, 6, 23] | [19, 15, 17] | [ad, diffs_is_odd, dad] | THINGGD | (FID)ING?G?H 
ioo(8) 69 | 44 | seek | [23, 1, 22, 23] | [22, 21, 1] | [hr, diffs_decremental, dad] | DUOED | HTEAH 
Results for spiralbranch40.txt
ioo(0) 63 | 21 | seek | [26, 10, 14, 13] | [16, 4, 1] | [ad, diffs_decremental, dad] | YIXP | ?Y?A(PAE)(CM) 
ioo(1) 39 | 15 | seek | [4, 6, 16, 13] | [2, 10, 3] | [ad, dad] | RGTP | ?R??G?Y(CM) 
ioo(2) 70 | 33 | seek | [7, 25, 26, 12] | [18, 1, 14] | [ad, dad] | WAEYEO | OOE?Y?EO 
